gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
necrolysis : Death
interpreter : Magic
fulminate : Toxic
antitussive : Healing
sporocarp : Nature
lighter : Fire
clapper : Blunt
pollination : Nature
cyprinodontidae : Animal
hydromel : Water
bumblebee : Animal
parmelia : Nature
therapist : Healing
negativity : Dark
cooter : Animal
holocentrus : Animal
savior : Good
paracheirodon : Animal
bestowal : Good
hexagrammidae : Animal
mangle : Blunt
turdus : Animal
verbascum : Nature
thermography : Tech
lycopodium : Nature
ram : Animal
cichlid : Animal
kakatoe : Animal
geode : Earth
amethyst: Earth
boulder : Earth
charmer : Magic
groundwork : Earth
motherhood : Life
parathion : Toxic
nightshade : Toxic
cybernetics : Tech
antisepsis : Healing
cavalry : Animal
anticoagulant : Healing
megalomania : Evil
bonfire : Fire
deadhead : Death
pachyderm : Animal
meteor : Fire
organophosphate : Toxic
maleberry : Nature
naloxone : Healing
xyridales : Nature
caretaker : Healing
optimism : Good
groundsel : Earth
denigration : Evil
dryadella : Nature
asafetida : Toxic
cyclone : Air
ovenbird : Animal
copperplate : Earth
firelighter : Fire
pedicel : Nature
manure : Nature
thrush : Animal
lutjanidae : Animal
gayal : Animal
hornbill : Animal
tinsmith : Tech
isoniazid : Toxic
sceliphron : Animal
parsley : Nature
shrike : Cutting
rookery : Animal
giraffa : Animal
olm : Animal
malathion : Toxic
horsepond : Nature
ursus : Animal 
uplink : Tech 
candelilla : Nature
thwack : Blunt 
manual : Tech 
featherfoil : Animal 
ritualist : Magic 
pleurobrachia : Animal 
moral : Good
nitrile : Toxic
molybdenite : Earth
incubation : Life
caber : Blunt
housebreaking : Evil
checksum : Tech
deliverer : Good 
agribusiness : Nature 
lactate : Animal 
bellow : Air 
horsehair : Animal 
car : Tech 
coconut : Nature 
fossilization : Earth 
gelignite : Fire
cassia : Nature
eohippus : Animal
refrigerator : Tech
astatine : Toxic
rat : Animal
hemostasis : Healing
erythropoietin : Healing
sorghum : Nature
haemodoraceae : Nature
geranium : Nature
racism : Evil
heliograph : Light
samovar : Tech
redberry : Nature
salvo : Fire
fusil : Tech
gunite : Toxic
laniidae : Animal
energizer : Electric
knife-edge : Cutting
